Date,Open,High,Low,Close,Volume,SMA_10,SMA_20,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,MACD,MACD_Signal,MACD_Hist,RSI_14,RSI_7,ROC,MOM,CCI,WILLR,MFI,STOCH_K,STOCH_D,BB_Upper,BB_Lower,BB_Middle,BB_Width,ATR,OBV,VWAP,Return_1d,Return_5d,Return_20d,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,sentiment_norm,num_articles
2022-01-31 00:00:00+05:30,936.5266800759264,947.8433892709114,929.8897349331478,935.4630737304688,7572995,978.222772216797,1046.0610626220705,1017.7032434082032,928.8392996215828,970.5955982927372,1012.0711881662876,1019.8309859463512,-31.17134253528593,-10.810571496743169,-20.360771038542765,31.313496348533423,24.36137519284724,-17.092069477097716,-192.8524780273437,-86.14052303140261,-89.49130648094882,19.05937227659025,5.638200766184811,6.565555125800356,888.8301296801095,1203.2919955640316,30.061520987664696,1046.0610626220705,32.10646939773568,105597101.0,937.732065978176,0.0175391855398765,-0.0586925352876056,-0.1595445099652908,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-01 00:00:00+05:30,950.1834172850714,967.0309850119042,937.0372831010644,963.8827514648438,6783774,968.3990356445312,1038.305621337891,1018.247080078125,929.6389834594733,969.2530289271588,1007.6904211934292,1017.8328347148688,-30.670296071515963,-14.782516411697726,-15.887779659818236,39.10653262744616,40.10948265305444,-9.249176635764076,-98.23736572265624,-132.17098831882015,-77.47098602463338,18.13664012118956,12.242147015778515,8.182378604525805,880.9197948604934,1195.691447815288,30.315896060468308,1038.305621337891,32.0680009608571,112380875.0,955.983673192604,0.0303803309103822,0.007023094712079,-0.1386148286110093,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-02 00:00:00+05:30,972.4764284785156,998.8112760892152,964.3079537459336,996.3436889648438,6982539,965.1121520996094,1031.8652435302731,1019.3979479980468,930.5662271118168,974.6711609346958,1006.6589000817396,1017.0653652237964,-27.338742761479352,-17.29376168165405,-10.044981079825302,46.56406720761534,53.11686928367269,-3.1935906986684985,-32.86883544921875,-284.1657937556373,-63.74138378532046,20.88813056997932,23.09877456969912,13.659707450554148,878.9648704911484,1184.7656165693982,29.635725013086752,1031.8652435302731,32.272324079679564,119363414.0,986.4876395999976,0.033677267749286,0.0420484930185902,-0.1144802147367557,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-03 00:00:00+05:30,988.7284993735816,996.2588118353516,979.3687631488748,984.2613525390624,4169794,962.3510131835938,1025.7784515380858,1020.1915686035156,931.3478335571292,976.5891992555692,1004.6227593960416,1015.8937933421988,-25.380831902835325,-18.911175725890303,-6.469656176945019,44.385168727425736,48.53903778588935,-2.7287412756854152,-27.61138916015625,-591.4234779770079,-66.9090039124352,25.36419364039223,30.626208759203656,21.989043448227093,875.6363481683666,1175.9205549078051,29.273787754966246,1025.7784515380858,31.179652775128805,115193620.0,986.629642507763,-0.0121266753225829,0.0733006988641253,-0.1100688507006754,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-04 00:00:00+05:30,987.026726873194,993.0679903761832,967.7541583723232,990.2601318359376,3625482,961.3682373046876,1021.0821868896484,1021.0148742675784,932.233623352051,979.3233857716428,1003.3170659814866,1014.978305431261,-23.079080808673098,-19.744756742446867,-3.3343240662262303,45.74267275855693,50.98588712503636,-0.9826895097110604,-9.8277587890625,-1029.486540455322,-51.29678904167254,26.0997613674826,39.35094108685727,31.02530813858668,872.7676763345573,1169.3966974447392,29.0504549896961,1021.0821868896484,30.76066557718103,118819102.0,983.6940935281478,0.0060947016576442,0.0771440544442854,-0.0866321302794402,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-07 00:00:00+05:30,984.473939540836,996.6841184495676,975.114204592738,984.771728515625,3824483,960.4662902832032,1015.8731353759764,1021.977335205078,933.2280868530275,980.4130543204392,1001.6311262118628,1013.8994991128454,-21.45052644639213,-20.08591068323592,-1.3646157631562126,44.66838996286013,48.52320299558334,-0.9075820178691244,-9.01947021484375,-1352.6074273078857,-53.92803491030722,33.25793540354174,42.62205737852834,37.533069074863086,870.3027348279629,1161.44353592399,28.65916923654797,1015.8731353759764,30.10418331144165,114994619.0,985.5233505193104,-0.0055423854236532,0.052710423500226,-0.0956708447015542,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-08 00:00:00+05:30,986.133196875607,995.4078647856344,977.2840753625804,988.6858520507812,3267641,963.6188232421875,1010.963165283203,1022.6282470703126,934.239668579102,982.0676138665078,1000.45428310631,1012.9990117177716,-19.61790532275336,-19.992309611139408,0.3744042883860494,45.64873717096265,50.512015305881455,3.293630362939496,31.52532958984375,-1665.0836723199136,-34.52175411146507,39.30211346271828,53.41780731218505,45.13026859252355,868.895506479877,1153.030824086529,28.10540753253425,1010.963165283203,29.248440890842545,118262260.0,987.1259307329984,0.0039746505934488,0.0257324872223758,-0.0903493735907645,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-09 00:00:00+05:30,997.2371011872834,1011.7021444638908,992.1317917955396,1004.8099975585938,3772972,968.4858764648438,1004.5157562255858,1023.5088232421876,935.3574185180668,986.616090604925,1000.8502571474266,1012.7065469263724,-16.67226855776653,-19.328301400464834,2.656032842698305,49.60952792431279,58.26203074642184,5.090317259277762,48.6705322265625,-1733.8143708394746,-15.625309218850203,46.81391584457175,65.30830058645917,53.78272175905751,874.7401134302058,1134.291399020966,25.83844842474249,1004.5157562255858,28.80328742814733,122035232.0,1002.8813112726748,0.0163086641468237,0.0084973776494194,-0.1137351717267922,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-10 00:00:00+05:30,1008.2563345899335,1014.170048806614,999.0242513244348,1012.8511352539062,2053245,978.066833496094,998.1118103027344,1024.245615234375,936.6251260375982,991.8630995347212,1001.9412460661974,1012.711710795213,-13.532977845312873,-18.16923668943444,4.636258844121571,51.50742636032615,61.74741870285933,10.44768023340596,95.8095703125,-1709.4019957516057,-1.2736639784621362,52.42691441948218,82.85975756374086,67.19528848746168,885.1250244274783,1111.0985961779904,22.6401059899264,998.1118103027344,27.827752432006744,124088477.0,1008.681811794985,0.0080026449924366,0.0290469422995141,-0.1122583440066703,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-11 00:00:00+05:30,1003.1936955511522,1003.1936955511522,985.3676913630864,990.1751098632812,3912397,985.1504821777344,991.3292510986328,1024.0563659667969,937.7792489624028,991.5255016004334,1000.8715973204778,1011.9068321905012,-12.728111331442392,-17.081011617836033,4.352900286393641,46.22060882620803,48.43936660642572,7.70515727726523,70.83648681640625,-1729.122877487256,-23.1717153370522,53.624036666498974,86.64310382187848,78.27038732402616,895.6648099667239,1086.9936922305417,19.3002357240825,991.3292510986328,27.803158964779104,120176080.0,992.9121655925068,-0.0223883101882889,-8.585822040374502e-05,-0.1204903321334406,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-14 00:00:00+05:30,966.0523884395336,990.7280566186678,964.5633394976896,975.4971923828124,3243813,989.1538940429688,983.6883331298828,1023.7980078125,938.8806246948246,988.3198397569092,998.5648332352356,1010.6064879116552,-13.123356211251576,-16.289480536519143,3.1661243252675675,43.13436608273273,41.65905845360973,4.2796043774014985,40.03411865234375,-1781.2077790859785,-37.346059618627045,55.61592222060906,79.40285368861953,82.96857169141295,912.92075189916,1054.4559143606057,14.388211966600398,983.6883331298828,27.686127404507616,116932267.0,976.9295294997232,-0.0148235573024001,-0.0094179553131488,-0.135439380532266,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-15 00:00:00+05:30,981.4960771248674,998.93922370576,976.901276276336,994.3019409179688,3000492,992.1958129882814,980.2974243164062,1024.5038586425785,940.0687445068364,989.5162599891212,998.1772975700294,1010.0241826618808,-11.783373185947084,-15.388259066404732,3.604885880457648,47.93125136375859,51.75319957786582,3.155901421297972,30.419189453125,-1953.648917324194,-19.18646850357789,61.41699147731105,73.43191884691427,79.82595878580409,919.566128653738,1041.0287199790746,12.390381563027828,980.2974243164062,27.382977684396188,119932759.0,990.0474803000216,0.0192770913970778,0.0056803572697416,-0.0638517011137254,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-16 00:00:00+05:30,1002.34262149905,1006.299257883792,987.0266901009322,993.6636352539062,1885868,991.9278076171876,978.5199798583984,1024.9758752441403,941.2977651977544,990.3457350420782,997.7669646322,1009.4398773973104,-10.650164450594502,-14.440640143242687,3.790475692648185,47.78390584072303,51.40101076616644,-0.2689888780970706,-2.6800537109375,-2712.2073864296563,-21.020530295653,70.49635515776416,74.14898052738067,75.66125102097149,921.873037826655,1035.1669218901418,11.578085925223675,978.5199798583984,26.803662691429302,118046891.0,995.6631944128768,-0.0006419636106445,-0.0110930049778267,-0.034539891729742,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-17 00:00:00+05:30,998.9392832860292,998.9392832860292,987.0268897885808,989.6221313476562,1644055,992.4638854980468,977.4074493408202,1024.9966369628903,942.470181884766,990.201014303194,997.026525242696,1008.7321007526798,-9.963352625382754,-13.545182639670704,3.5818300142879487,46.80285943149231,48.940809739103535,0.544649934162786,5.36077880859375,-4515.330348019298,-29.126514046699604,77.5371164596787,76.8888290513565,74.82324280855048,922.676994507816,1032.1379041738244,11.199107367130315,977.4074493408202,25.74000060614496,116402836.0,991.8627681407556,-0.0040672756482803,-0.0229342724688034,-0.0219895342908412,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-18 00:00:00+05:30,980.942853332653,995.6206211067192,978.602919339686,991.2811279296876,2166690,992.565985107422,976.9671112060548,1025.10205078125,943.6789706420903,990.4170370284928,996.5042163960588,1008.1088517232872,-9.179368104779655,-12.672019732692494,3.4926516279128386,47.28133468909646,50.084951175953016,0.1031038270577528,1.02099609375,-7536.414266091255,-29.67470525341158,70.96994246732757,73.39275013474526,74.81018657116081,922.8668994215404,1031.067322990569,11.075134702892557,976.9671112060548,25.116979260494123,118569526.0,988.5015561253643,0.0016763939785502,0.0011169923939604,-0.0088059887314591,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-21 00:00:00+05:30,981.1554069457252,995.109940783715,978.6878198376028,991.0682373046876,1706058,993.1956359863282,976.8309631347656,1025.3103686523436,944.8515457153326,990.5472770837316,996.0100364786616,1007.5002583511944,-8.477509762657292,-11.833117738685454,3.3556079760281623,47.22263751879409,49.91748914309771,0.6393876475874678,6.2965087890625,-10527.576821107185,-46.33140960846576,64.0933258452823,64.95579036380768,71.74578984996981,922.89556814148,1030.7663581280513,11.042933123290972,976.8309631347656,24.495917952323992,116863468.0,988.2886659753352,-0.0002147631171437,0.0159621627242618,-0.0027399733759563,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-22 00:00:00+05:30,963.2019346903944,982.0490604581192,963.2019346903944,978.135009765625,3254855,992.1405517578128,977.8796875,1025.312335205078,945.9320016479496,988.0648236201104,994.3850340502036,1006.4514994731384,-8.862721409265419,-11.239038472801449,2.376317063536028,43.67533107334132,40.35441841483637,-1.0671582144390122,-10.55084228515625,-9295.953400644516,-70.70114259833208,53.11928142877527,51.09758084659685,63.14870711504992,924.7449921195628,1031.014382880437,10.867327762227871,977.8796875,24.736659713893207,113608613.0,974.4620016380462,-0.013049785123006,-0.0162595791952472,0.0219132390152911,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
2022-02-23 00:00:00+05:30,983.62321203518,986.1758674297348,976.8587167867348,981.070556640625,1937649,989.7666076660156,979.1262420654296,1025.3181701660155,947.0254708862312,986.6659702242134,993.1746270129692,1005.54503722912,-8.829351052228958,-10.75710098868695,1.9277499364579924,44.69090560279931,43.23420466390816,-2.3625800873447647,-23.73944091796875,-8794.866819952469,-64.94156736997215,50.44942204684505,39.34196014107667,51.79844378382706,926.9784324574268,1031.2740516734325,10.65190725518683,979.1262420654296,23.635266208829407,115546262.0,981.3683802856982,0.0030011673702421,-0.0126733817828237,0.0260747434998263,-0.01695101149380207,0.6213441491127014,1.8151379823684692,-2.073570489883423,17.225601196289062,7
